1.763212271194386858e+03 1.696311036044038101e+00 7.470060680013524745e+00 7.855861565602782321e+03
1.771225512042263745e+03 1.618335340200058425e+00 7.441847459949826771e+00 8.126507467948707927e+03
1.501703583244945094e+03 2.259993335660456459e+00 7.466046381833780998e+00 8.209196879494422319e+03
1.995259428366995962e+03 1.240739930492688714e+00 7.479877696392942532e+00 8.322013380589081862e+03
1.739980915589425422e+03 1.672286292424112419e+00 7.462356466048142067e+00 8.433917731396371892e+03
1.508849939224104673e+03 2.259890648517550726e+00 7.467953341224779606e+00 8.472534598386004291e+03
1.610191117438638912e+03 1.929562502665480128e+00 7.470495223143759134e+00 8.521168162470708921e+03
1.617561493255139567e+03 2.050134207389282981e+00 7.473718763695316625e+00 8.566390821392029466e+03
1.687896537287837418e+03 1.790926106132924245e+00 7.482336366169614728e+00 8.592208447142147634e+03
1.695519062249976059e+03 1.889301117047649692e+00 7.489378371003872381e+00 8.626070961808323773e+03
1.556067956434198550e+03 2.099759926380572406e+00 7.496388208699310773e+00 8.633230614397492900e+03
1.669904276796055456e+03 1.931914214578525968e+00 7.453680422298834429e+00 8.646599535851672044e+03
1.939117273928431587e+03 1.327510572549045476e+00 7.495691073701764573e+00 8.653220583241283748e+03
1.791948581686782518e+03 1.606337651663997557e+00 7.468856352147199118e+00 8.657938684311082397e+03
1.506567129338018276e+03 2.197221065332536583e+00 7.481868123790063052e+00 8.661840970729077526e+03
1.832600506370642734e+03 1.633789238103564134e+00 7.473709308297736165e+00 8.681347136189604498e+03
1.545370676698048328e+03 2.226921988920064877e+00 7.459567817433814696e+00 8.683020634772974518e+03
1.710721797707607720e+03 1.785050414561299759e+00 7.453501196414657137e+00 8.688669090209856222e+03
1.700726172565414117e+03 1.836247866499287840e+00 7.491102457493719946e+00 8.694809850780484339e+03
1.881419042170879038e+03 1.473999042337116538e+00 7.477811601761545468e+00 8.706057143709678712e+03
1.610905687468332872e+03 1.974693006265620276e+00 7.448008606175710256e+00 8.712159894661879662e+03
1.909651944132107019e+03 1.403618942203131548e+00 7.465593567520063090e+00 8.721451058518630816e+03
1.776221107330835139e+03 1.639207097459103313e+00 7.460755724205776929e+00 8.736818056832144066e+03
1.858391332345948967e+03 1.568742937295424467e+00 7.457470225612361503e+00 8.738317007422439929e+03
1.543521777644204803e+03 2.124053006477079286e+00 7.435509926885409016e+00 8.743354802816025767e+03
1.659898716376793345e+03 1.892574918371908721e+00 7.503860827303854286e+00 8.744138762572831183e+03
1.728769072513063293e+03 1.839600421274190767e+00 7.474577553211970482e+00 8.745960101978906096e+03
1.646006669342517171e+03 1.975440805631551555e+00 7.454989145843499365e+00 8.748838005668043479e+03
1.734189718565179419e+03 1.728015100352311650e+00 7.441164352307336749e+00 8.751039133991640483e+03
1.981338223435497639e+03 1.306148531087352627e+00 7.477157796403438361e+00 8.755874299785682524e+03
1.667446029185209682e+03 1.959722861219012957e+00 7.439105365970602790e+00 8.756171047914993324e+03
1.945848500188139042e+03 1.430544447123089702e+00 7.481248584664885293e+00 8.785107247086742063e+03
1.676667755205663980e+03 1.925118521112642034e+00 7.467036557166969679e+00 8.785291279776420197e+03
1.848758440627278105e+03 1.635766342514279215e+00 7.496371446641662217e+00 8.790764924086155588e+03
1.803757813728877181e+03 1.561404734349852497e+00 7.471319217680739477e+00 8.793541136707168334e+03
1.899608221069355977e+03 1.556939093223780990e+00 7.451297062489591561e+00 8.799093057225083612e+03
1.630441917392812911e+03 1.962702097227611242e+00 7.471431672754268227e+00 8.819044010163403073e+03
1.776788292697686529e+03 1.643030246189701726e+00 7.456872228197692465e+00 8.821569627267575925e+03
1.967779255920590458e+03 1.379918424171372671e+00 7.450609809449434628e+00 8.850080325007073043e+03
1.826489187072296318e+03 1.570328318963570391e+00 7.489969461730115796e+00 8.865045902466215921e+03
1.696286497896993978e+03 1.869399835710150892e+00 7.456843778552180169e+00 8.865299567851659958e+03
1.684798820387887190e+03 1.947017406462232980e+00 7.449505695957189921e+00 8.865647571835354029e+03
